match_number,date,stage,group,home_team,away_team,score,home_score,away_score,predicted_winner,confidence,safe_score,upside_score,recommended_rule,model_score,model_predicted_winner,filled_score,filled_predicted_winner,new_model_score,new_model_predicted_winner,round_locked,round_status,score_source,model_favourite_prob,prob_home_win,prob_draw,prob_away_win,actual_available,actual_home_score,actual_away_score,actual_score,actual_outcome,actual_winner,actual_source,pre_match_score,pre_match_predicted_winner,pre_match_confidence,pre_match_model_favourite_prob,pre_match_source,prediction_exact,prediction_outcome_correct,actual_online_verified
1,2026-06-11,Group Stage,A,Mexico,South Africa,2-0,2,0,Mexico,actual,2-0,2-0,actual_result_locked,2-0,Mexico,2-0,Mexico,,,True,locked,manual_locked_score,1.0,1.0,0.0,0.0,True,2,0,2-0,home_win,Mexico,espn,2-0,Mexico,high,0.7169632206099974,manual_locked_score,True,True,True
2,2026-06-11,Group Stage,A,South Korea,Czech Republic,1-1,2,1,Draw,actual,1-0,2-1,actual_result_locked,2-1,South Korea,1-1,Draw,,,True,locked,manual_locked_score,1.0,1.0,0.0,0.0,True,2,1,2-1,home_win,South Korea,espn,1-1,Draw,actual,1.0,manual_locked_score,False,False,True
3,2026-06-12,Group Stage,B,Canada,Bosnia and Herzegovina,2-0,1,1,Canada,actual,0-0,1-1,actual_result_locked,1-1,Draw,2-0,Canada,,,True,locked,manual_locked_score,1.0,0.0,1.0,0.0,True,1,1,1-1,draw,Draw,espn,2-0,Canada,actual,1.0,manual_locked_score,False,False,True
4,2026-06-12,Group Stage,D,United States,Paraguay,1-0,4,1,United States,actual,3-0,2-1,actual_result_locked,4-1,United States,1-0,United States,,,True,locked,manual_locked_score,1.0,1.0,0.0,0.0,True,4,1,4-1,home_win,United States,espn,1-0,United States,low,0.4524803691067134,manual_locked_score,False,True,True
5,2026-06-13,Group Stage,B,Qatar,Switzerland,0-2,1,1,Switzerland,actual,0-0,1-1,actual_result_locked,1-1,Draw,0-2,Switzerland,,,True,played,excel_prematch_score,1.0,0.0,1.0,0.0,True,1,1,1-1,draw,Draw,espn,0-2,Switzerland,,,excel_prematch_score,False,False,True
6,2026-06-13,Group Stage,C,Brazil,Morocco,2-1,1,1,Brazil,actual,0-0,1-1,actual_result_locked,1-1,Draw,2-1,Brazil,,,True,played,excel_prematch_score,1.0,0.0,1.0,0.0,True,1,1,1-1,draw,Draw,espn,2-1,Brazil,,,excel_prematch_score,False,False,True
7,2026-06-13,Group Stage,C,Haiti,Scotland,0-1,0,1,Scotland,actual,0-1,0-2,actual_result_locked,0-1,Scotland,0-1,Scotland,,,True,locked,manual_locked_score,1.0,0.0,0.0,1.0,True,0,1,0-1,away_win,Scotland,espn,0-1,Scotland,medium,0.6046961023173004,manual_locked_score,True,True,True
8,2026-06-14,Group Stage,D,Australia,Turkey,0-1,2,0,Turkey,actual,2-0,2-0,actual_result_locked,2-0,Australia,0-1,Turkey,,,True,played,excel_prematch_score,1.0,1.0,0.0,0.0,True,2,0,2-0,home_win,Australia,espn,0-1,Turkey,,,excel_prematch_score,False,False,True
9,2026-06-14,Group Stage,E,Germany,Curaçao,2-1,7,1,Germany,actual,6-1,2-1,actual_result_locked,7-1,Germany,2-1,Germany,,,True,played,excel_prematch_score,1.0,1.0,0.0,0.0,True,7,1,7-1,home_win,Germany,espn,2-1,Germany,,,excel_prematch_score,False,True,True
10,2026-06-14,Group Stage,F,Netherlands,Japan,2-1,2,2,Netherlands,actual,1-1,1-1,actual_result_locked,2-2,Draw,2-1,Netherlands,,,True,played,excel_prematch_score,1.0,0.0,1.0,0.0,True,2,2,2-2,draw,Draw,espn,2-1,Netherlands,,,excel_prematch_score,False,False,True
11,2026-06-14,Group Stage,E,Ivory Coast,Ecuador,1-2,1,0,Ecuador,actual,1-0,2-0,actual_result_locked,1-0,Ivory Coast,1-2,Ecuador,,,True,played,excel_prematch_score,1.0,1.0,0.0,0.0,True,1,0,1-0,home_win,Ivory Coast,espn,1-2,Ecuador,,,excel_prematch_score,False,False,True
12,2026-06-14,Group Stage,F,Sweden,Tunisia,2-1,5,1,Sweden,actual,4-0,2-1,actual_result_locked,5-1,Sweden,2-1,Sweden,,,True,played,excel_prematch_score,1.0,1.0,0.0,0.0,True,5,1,5-1,home_win,Sweden,espn,2-1,Sweden,,,excel_prematch_score,False,True,True
13,2026-06-15,Group Stage,H,Spain,Cape Verde,3-0,0,0,Spain,actual,0-0,0-0,actual_result_locked,0-0,Draw,3-0,Spain,,,True,played,excel_prematch_score,1.0,0.0,1.0,0.0,True,0,0,0-0,draw,Draw,espn,3-0,Spain,,,excel_prematch_score,False,False,True
14,2026-06-15,Group Stage,G,Belgium,Egypt,2-1,1,1,Belgium,actual,0-0,1-1,actual_result_locked,1-1,Draw,2-1,Belgium,,,True,played,excel_prematch_score,1.0,0.0,1.0,0.0,True,1,1,1-1,draw,Draw,espn,2-1,Belgium,,,excel_prematch_score,False,False,True
